Sponsor Name,City
5 Star Nails & Spa,Hesperia
Affordable RV High Desert,Hesperia
Bear Valley West Self Storage,Victorville
Brake Masters,Victorville
Carnes y Mariscos,Victorville
Collision Auto Repair Specialists Body Shop ,Hesperia
Cooley Construction Inc,Hesperia
Curves by Christina,Hesperia
Custom Mojave Pool,
Desert Accounting Service,Victorville
Evoke Off-Road,Victorville
Fence Guys Inc,Hesperia
Free Spirit Boutique,Victorville
Hair and Nail Republic,Hesperia
Hard Luck Plumbing,Hesperia
High Desert Carbonics,Oak Hills
High Desert Tile and Stone,Hesperia
Kona Ice of the Victor Valley,Victorville
Liberty Village Dental Care,Victorville
Major RV & Auto Sales,Hesperia
Metal Monkees,Victorville
Nutty Bolts Industrial Hardware,Hesperia
Oak Hills Tax and Business Services,Hesperia
One Stop Ice Cream,Wildomar
Palcrete Inc,Rancho Cucamonga
Paw Spa,Hesperia 
Permits by Kathy,
Rani Eyebrow Threading,Victorville
Roundabout Grill,Victorville
Samperio Turbo Rebuild,Fontana
Silver Valley Propane,Apple Valley
Tri-City Wheel Repair,Hesperia
Tutti Frutti,
Valentino's Pizza,Hesperia
Victorville Motors,Victorville
Water Planet,Hesperia